0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,139,179,105,97,82,72,95,67,43,0,0,0,41,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
44,51,113,114,101,42,0,29,27,0,0,28,22,77,36,95,36,90,78,69,93,132,84,71,27,63,21,0,0,22,0,23
103,54,36,55,24,43,59,49,46,40,41,25,0,29,29,21,35,53,28,40,62,59,62,48,45,0,127,59,24,34,47,35
0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,40,24,28,26,0,0,0,0,0,0
0,0,65,21,0,0,24,33,21,45,0,0,25,21,0,0,44,27,27,21,35,51,40,35,42,47,33,0,0,0,0,0
22,36,49,32,0,28,0,21,0,37,0,0,50,23,0,34,24,37,36,35,39,57,47,97,75,63,73,38,0,23,20,20
0,21,36,0,34,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,48,0,0,0,23,0,0,0,0,0
0,0,40,43,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0
0,0,0,0,35,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,41,69,56,0,0,30,22,0,0,0,0,54,0,0,0,0,0,0,0,26,22,0,26,25,0,0,0,0,0,0
0,0,30,84,44,80,23,36,27,20,0,0,0,58,0,0,0,23,0,0,35,53,44,36,23,0,0,0,0,0,0,0
0,0,0,0,0,0,20,0,0,27,0,0,0,22,41,0,0,0,31,29,0,0,0,0,23,21,0,0,0,0,0,0
0,0,0,0,0,26,70,70,0,0,0,0,0,0,0,25,0,0,44,61,0,0,25,26,30,0,0,0,0,0,0,0
0,0,27,0,0,0,24,34,0,0,0,0,94,61,0,0,0,0,72,0,0,24,0,21,36,0,0,0,0,0,0,0
0,0,23,42,0,0,0,150,38,0,0,79,99,48,0,0,0,91,48,0,24,51,61,41,53,0,0,0,0,0,0,0
0,52,34,50,71,0,36,98,102,47,31,0,0,20,0,103,64,0,23,0,0,30,24,28,38,0,0,0,0,0,0,0
0,0,20,0,0,25,0,41,197,43,0,0,77,100,72,0,0,70,85,42,23,40,44,36,0,0,0,0,0,0,0,0
0,0,0,0,24,0,0,34,135,0,0,0,40,153,0,0,105,0,0,32,29,74,34,0,0,45,0,0,0,0,0,0
0,0,25,31,46,28,97,27,86,97,65,0,27,83,48,61,115,0,81,36,71,129,67,51,74,53,55,28,22,0,20,0
0,23,50,21,85,32,48,0,46,65,34,0,30,119,0,0,29,26,30,71,0,57,0,20,0,0,0,0,0,0,0,0
0,0,44,102,0,0,23,0,20,20,36,0,117,144,0,0,28,38,109,39,46,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,28,0,0,27,0,0,0,0,0,0,61,52,0,0,49,41,29,0,0,21,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,49,109,21,0,24,0,70,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,64,0,25,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,20,0,0,0,0,0,0,29,26,0,31,0,0,0,21,47,0,0,25,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,136,182,105,98,84,73,96,67,42,0,0,0,43,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0
44,53,111,113,100,42,0,29,28,0,0,28,22,77,36,94,37,90,81,69,91,133,85,73,28,65,22,0,0,22,0,23
105,53,36,54,24,41,56,48,47,38,41,23,0,29,30,22,37,54,25,39,60,61,61,48,46,0,127,59,25,33,48,35
0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,43,25,29,26,0,0,0,0,0,0
0,0,66,21,0,0,23,32,21,43,0,0,25,21,0,0,45,28,29,22,35,48,43,34,41,47,33,0,0,0,0,0
24,38,50,37,0,28,0,20,0,36,0,0,49,23,0,34,25,37,37,36,40,58,47,96,75,63,74,37,20,22,21,20
0,21,35,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,23,0,0,0,0,0
0,0,42,40,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
0,0,0,0,36,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,41,69,56,0,0,30,22,0,0,0,0,56,0,0,0,0,0,0,0,24,22,0,24,25,0,0,0,0,0,0
0,0,29,83,44,76,24,39,27,0,0,0,0,59,0,0,0,23,0,0,36,50,44,36,23,0,0,0,0,0,0,0
0,0,0,0,0,0,22,0,0,27,0,0,0,24,40,0,0,0,34,29,0,0,0,0,23,22,20,0,0,0,0,0
0,0,0,0,0,26,70,68,0,0,0,0,0,0,0,22,0,0,40,59,0,0,25,26,28,0,0,0,0,0,0,0
0,0,28,0,0,0,26,32,0,0,0,0,95,61,0,0,0,0,69,0,0,24,0,21,35,0,0,0,0,0,0,0
0,0,22,42,0,0,0,150,40,0,0,77,98,52,0,0,0,91,49,0,26,50,61,44,53,0,0,0,0,0,0,0
0,50,30,53,71,0,34,100,102,45,28,0,0,20,0,105,66,0,23,0,0,30,24,27,38,0,0,0,0,0,0,0
0,0,0,0,0,28,0,40,197,43,0,0,77,100,74,0,0,69,85,43,23,41,43,38,0,0,0,0,0,0,0,0
0,0,0,0,21,0,0,33,135,0,0,0,40,152,0,0,105,0,0,32,27,74,34,0,0,44,0,0,0,0,0,0
0,0,26,31,47,29,97,31,89,99,65,0,31,85,49,61,115,0,82,37,72,127,67,55,74,55,56,27,21,0,21,0
0,23,50,21,84,31,49,0,46,65,35,0,29,119,0,0,29,28,30,71,0,57,0,21,0,0,0,0,0,0,0,0
0,0,43,101,0,0,24,0,20,0,36,0,119,145,0,0,28,40,110,39,45,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,30,0,0,27,0,0,0,0,0,0,63,54,0,0,49,42,30,0,0,22,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,48,112,22,0,24,0,70,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,64,0,24,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,23,0,0,0,0,0,0,28,24,0,33,0,0,0,21,48,0,0,24,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,139,181,102,97,82,73,97,67,38,0,0,0,41,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
43,53,115,115,100,45,0,28,27,0,0,29,23,77,37,95,37,91,79,70,93,134,85,74,29,67,20,0,0,23,0,25
105,54,37,55,24,43,57,48,46,40,40,25,0,28,31,21,37,54,30,38,59,60,62,48,44,0,128,59,24,34,47,34
0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,41,22,29,27,21,0,0,0,0,0
0,0,66,20,0,0,24,35,21,44,0,0,26,22,0,0,45,25,28,22,36,52,42,34,42,47,33,0,0,0,0,0
24,37,50,36,0,28,0,21,0,37,0,0,49,22,0,33,25,35,40,36,40,59,47,98,74,63,73,37,20,20,0,20
0,0,36,0,33,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,50,0,0,0,23,0,0,0,0,0
0,0,38,41,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0
0,0,0,20,36,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,42,69,55,0,0,31,21,0,0,0,0,54,0,0,0,0,0,0,0,24,21,0,26,27,0,0,0,0,0,0
0,0,31,86,44,78,24,36,26,21,0,0,0,59,0,0,0,23,0,0,36,53,43,37,24,0,0,0,0,0,0,0
0,0,0,0,0,0,22,0,0,28,0,0,0,25,39,0,0,0,34,30,0,0,0,0,23,22,21,0,0,0,0,0
0,0,0,0,0,27,71,70,0,0,0,0,0,0,0,25,0,0,41,58,0,0,25,27,29,0,0,0,0,0,0,0
0,0,28,0,0,0,25,33,0,0,0,0,93,61,0,0,0,0,70,0,0,24,0,21,36,0,0,0,0,0,0,0
0,0,24,41,0,0,0,152,42,0,0,77,98,46,0,0,0,93,47,0,23,52,62,44,52,0,0,0,0,0,0,0
0,51,32,51,74,0,38,99,102,47,29,0,0,21,0,105,64,20,24,0,0,31,23,27,38,0,0,0,0,0,0,0
0,0,20,20,0,27,0,41,197,41,0,0,78,100,74,0,0,69,85,44,24,38,44,38,0,0,0,0,0,0,0,0
0,0,0,0,20,0,0,33,136,0,0,0,41,154,0,0,106,0,0,28,27,72,34,0,0,48,0,0,0,0,0,0
0,0,25,30,46,26,97,28,89,100,65,0,29,84,49,61,116,0,83,36,72,128,68,52,74,55,55,28,20,0,20,0
0,23,49,21,84,32,49,0,46,65,34,0,32,120,0,0,27,29,30,72,0,57,0,21,0,0,0,0,0,0,0,0
0,0,44,103,0,0,24,0,0,21,38,0,119,144,0,0,26,39,109,37,44,0,0,0,0,0,21,0,0,0,0,0
0,0,0,0,28,0,0,28,0,0,0,0,0,0,62,55,0,0,49,41,29,0,0,22,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,49,112,22,0,24,0,71,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,63,0,26,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,23,0,0,0,0,0,0,27,24,0,34,0,0,0,20,47,0,0,24,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
